*Step  = 0
*Time  = 0
*Data  = x;y;z
40 0.406261130029 8.67361737988e-19 0.29289092281
41 -0.406212548264 0.202992234382 0.292791409532
42 -0.203004548943 0.203004548943 0.293365557056
43 -1.12757025938e-17 0.203026126343 0.293470130063
44 0.203004548943 0.203004548943 0.293365557056
45 0.406212548264 0.202992234382 0.292791409532
46 -0.406189759012 0.406189759012 0.29220945899
47 -0.202992234382 0.406212548264 0.292791409532
48 -5.20417042793e-18 0.406261130029 0.29289092281
49 0.202992234382 0.406212548264 0.292791409532
50 0.406189759012 0.406189759012 0.29220945899
51 -0.407555903404 -0.407555903404 0.484488505146
52 -0.203771488413 -0.40763829021 0.485125199198
53 1.73472347598e-17 -0.407635257003 0.485307363759
54 0.203771488413 -0.40763829021 0.485125199198
55 0.407555903404 -0.407555903404 0.484488505146
56 -0.40763829021 -0.203771488413 0.485125199198
57 -0.20380615732 -0.20380615732 0.4857580131
58 1.56125112838e-17 -0.203811055462 0.485943013913
59 0.20380615732 -0.20380615732 0.4857580131
60 0.40763829021 -0.203771488413 0.485125199198
61 -0.407635257003 -2.16840434497e-17 0.485307363759
62 -0.203811055462 -2.86229373536e-17 0.485943013913
63 -3.46944695195e-18 -1.82145964978e-17 0.486136739833
64 0.203811055462 -1.73472347598e-18 0.485943013913
65 0.407635257003 2.60208521397e-18 0.485307363759
66 -0.40763829021 0.203771488413 0.485125199198
67 -0.20380615732 0.20380615732 0.4857580131
68 1.73472347598e-18 0.203811055462 0.485943013913
69 0.20380615732 0.20380615732 0.4857580131
70 0.40763829021 0.203771488413 0.485125199198
71 -0.407555903404 0.407555903404 0.484488505146
72 -0.203771488413 0.40763829021 0.485125199198
73 1.04083408559e-17 0.407635257003 0.485307363759
74 0.203771488413 0.40763829021 0.485125199198
75 0.407555903404 0.407555903404 0.484488505146
76 -0.408065923881 -0.408065923881 0.676125128406
77 -0.204053373314 -0.408150454782 0.676646868575
78 1.30104260698e-17 -0.408164218361 0.676840370063
79 0.204053373314 -0.408150454782 0.676646868575
80 0.408065923881 -0.408065923881 0.676125128406
81 -0.408150454782 -0.204053373314 0.676646868575
82 -0.204090067212 -0.204090067212 0.677172800097
83 3.64291929955e-17 -0.204100893128 0.677366908365
84 0.204090067212 -0.204090067212 0.677172800097
85 0.408150454782 -0.204053373314 0.676646868575
86 -0.408164218361 -1.99493199737e-17 0.676840370063
87 -0.204100893128 -1.64798730218e-17 0.677366908365
